waypoint1	waypoint2	distance_m	duration_s
San Antonio, TX	Oljato-Monument Valley, UT	1654247	56957
Silverton, CO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2722303	90868
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Spokane, WA	1817878	60573
Savannah, GA	Las Vegas, NV	3551386	113928
Terlingua, TX	Grand Canyon National Park	1430488	50411
Oljato-Monument Valley, UT	Tulsa, OK	1550860	51974
Oklahoma City, OK	Great Sand Dunes Visitor Center, Mosca, CO	927457	32659
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3229311	104846
Page, AZ	Silverton, CO	495685	18782
Oklahoma City, OK	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1294766	45169
Teasdale, UT	Terlingua, TX	1684901	60071
Spokane, WA	Las Vegas, NV	1683945	57040
Page, AZ	Great Sand Dunes Visitor Center, Mosca, CO	696382	26737
Oljato-Monument Valley, UT	Chambers, AZ	264643	11146
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Bryce Canyon National Park Visitor Center, Bryce, UT	641820	25124
Atlanta, GA	Asheville, NC	334048	11929
Lafayette, LA	Atlanta, GA	935142	29875
San Antonio, TX	Lafayette, LA	663603	21663
Flagstaff, AZ	Asheville, NC	2949791	94780
Chattanooga, TN	Yellowstone National Park Visitor Center	2878903	98549
Carlsbad, NM	Albuquerque, NM	450036	15314
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Albuquerque, NM	1613439	53960
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Richmond, VA	3714838	120015
Black Canyon of the Gunnison National Park, Montrose, CO	Co Road 7515, Bloomfield, NM 87413	312711	15381
Chimayo, NM	Little Rock, AR	1449002	47064
Flagstaff, AZ	Atlanta, GA	2750822	88115
Flagstaff, AZ	Silverton, CO	577318	22017
Savannah, GA	Las Cruces, NM	2750400	87143
Teasdale, UT	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	2990875	99978
Chattanooga, TN	Asheville, NC	364450	12629
Chimayo, NM	Las Cruces, NM	500899	16202
Chattanooga, TN	Richmond, VA	879508	28829
Tulsa, OK	Indianola, MS	713282	24702
Chambers, AZ	Little Rock, AR	1711434	54129
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Richmond, VA	2310317	76667
Oklahoma City, OK	Albuquerque, NM	871102	27843
San Antonio, TX	Terlingua, TX	740251	24757
Memphis, TN	Yellowstone National Park Visitor Center	2501095	88881
Carlsbad, NM	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1268938	45254
Co Road 7515, Bloomfield, NM 87413	Natural Bridges Rd, Lake Powell, UT 84533	327927	14140
Chinle, AZ	Great Sand Dunes Visitor Center, Mosca, CO	576024	22936
Teasdale, UT	Asheville, NC	3051980	99834
Kansas City, MO	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1233359	40894
Lafayette, LA	Teasdale, UT	2435198	82748
Teasdale, UT	Great Sand Dunes Visitor Center, Mosca, CO	754386	29547
Oljato-Monument Valley, UT	Richmond, VA	3333684	113136
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Indianola, MS	2504362	85500
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Asheville, NC	2889264	93359
Flagstaff, AZ	Kansas City, MO	1789525	59930
Chinle, AZ	Fajada Butte View Point, Nageezi, NM 87037	270007	15398
Little Rock, AR	Las Cruces, NM	1607993	51229
Oklahoma City, OK	Dallas, TX	332738	11342
Albuquerque, NM	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	823085	30433
Spokane, WA	Las Cruces, NM	2477527	81660
Nashville, TN	Natural Bridges Rd, Lake Powell, UT 84533	2508278	83280
New Orleans, LA	Yellowstone National Park Visitor Center	2943605	103987
Spokane, WA	Black Canyon of the Gunnison National Park, Montrose, CO	1728845	56918
Flagstaff, AZ	Teasdale, UT	608834	24196
Richmond, VA	Chimayo, NM	2981158	96788
Chattanooga, TN	St. Louis, MO	705431	22918
Atlanta, GA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	260626	9863
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	Dallas, TX	1466074	51281
Black Canyon of the Gunnison National Park, Montrose, CO	Teasdale, UT	453082	17259
Indianola, MS	Natural Bridges Rd, Lake Powell, UT 84533	2234328	75663
Page, AZ	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	394790	15782
Oklahoma City, OK	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1435318	47580
Lafayette, LA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	2488021	83870
Tupelo, MS	New Orleans, LA	549081	18250
Oklahoma City, OK	Tulsa, OK	170561	5740
C R 268A, Montezuma Creek, UT 84534	Tupelo, MS	2242969	75038
C R 268A, Montezuma Creek, UT 84534	Terlingua, TX	1371609	48210
Dallas, TX	Asheville, NC	1539771	50586
St. Louis, MO	Las Cruces, NM	1881300	62149
Silverton, CO	Asheville, NC	2850080	94655
Lafayette, LA	Silverton, CO	2088521	69574
Richmond, VA	Tupelo, MS	1308424	42515
Linville, NC	Silverton, CO	2900058	96858
Dallas, TX	Great Sand Dunes Visitor Center, Mosca, CO	1142773	39151
Page, AZ	Asheville, NC	3056421	100645
Linville, NC	Great Sand Dunes Visitor Center, Mosca, CO	2528001	84160
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Indianola, MS	1645358	54704
Tulsa, OK	Great Sand Dunes Visitor Center, Mosca, CO	1043946	37284
Terlingua, TX	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1510824	52383
Kansas City, MO	St. Louis, MO	398980	13246
Flagstaff, AZ	New Orleans, LA	2374036	76687
Richmond, VA	Black Canyon of the Gunnison National Park, Montrose, CO	3028466	101478
Silverton, CO	Black Canyon of the Gunnison National Park, Montrose, CO	116513	6195
Flagstaff, AZ	San Antonio, TX	1662371	54237
Black Canyon of the Gunnison National Park, Montrose, CO	Atlanta, GA	2598145	87093
Chimayo, NM	Teasdale, UT	768775	31340
Terlingua, TX	Yellowstone National Park Visitor Center	2272105	82714
Chinle, AZ	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	2672361	87779
St. Louis, MO	Memphis, TN	456132	14947
San Antonio, TX	Indianola, MS	1041334	37247
San Antonio, TX	Kansas City, MO	1313311	42202
Chattanooga, TN	Lafayette, LA	967465	31578
Chinle, AZ	Chambers, AZ	122619	4774
Little Rock, AR	New Orleans, LA	687568	24405
Kansas City, MO	Tupelo, MS	895839	32064
Flagstaff, AZ	Bryce Canyon National Park Visitor Center, Bryce, UT	457424	17094
Tulsa, OK	Terlingua, TX	1235810	41724
Charleston, SC	Asheville, NC	429689	14431
Richmond, VA	Natural Bridges Rd, Lake Powell, UT 84533	3442022	112565
Chinle, AZ	Richmond, VA	3314916	107664
